Gregorian_date,lunar_date,hour,light.dark,study_time,colony_id,tank_id,system,RO,total_RO,per.release,prop.release
2022-3-2,2022-1-30,21,dark,27,RAS_colony6,RAS_tank1,RAS,2,858,0.233100233,0.002331002
2022-3-2,2022-1-30,22,dark,28,RAS_colony6,RAS_tank1,RAS,0,858,0,0
2022-3-2,2022-1-30,23,dark,29,RAS_colony6,RAS_tank1,RAS,2,858,0.233100233,0.002331002
2022-3-2,2022-1-30,00,dark,30,RAS_colony6,RAS_tank1,RAS,1,858,0.116550117,0.001165501
2022-3-3,2022-1-31,1,dark,31,RAS_colony6,RAS_tank1,RAS,9,858,1.048951049,0.01048951
2022-3-3,2022-1-31,2,dark,32,RAS_colony6,RAS_tank1,RAS,8,858,0.932400932,0.009324009
2022-3-3,2022-1-31,3,dark,33,RAS_colony6,RAS_tank1,RAS,18,858,2.097902098,0.020979021
2022-3-3,2022-1-31,4,dark,34,RAS_colony6,RAS_tank1,RAS,29,858,3.37995338,0.033799534
2022-3-3,2022-1-31,5,dark,35,RAS_colony6,RAS_tank1,RAS,52,858,6.060606061,0.060606061
2022-3-3,2022-1-31,6,dark,36,RAS_colony6,RAS_tank1,RAS,40,858,4.662004662,0.046620047
2022-3-3,2022-1-31,7,light,37,RAS_colony6,RAS_tank1,RAS,14,858,1.631701632,0.016317016
2022-3-3,2022-1-31,8,light,38,RAS_colony6,RAS_tank1,RAS,7,858,0.815850816,0.008158508
2022-3-3,2022-1-31,9,light,39,RAS_colony6,RAS_tank1,RAS,2,858,0.233100233,0.002331002
2022-3-3,2022-1-31,10,light,40,RAS_colony6,RAS_tank1,RAS,14,858,1.631701632,0.016317016
2022-3-3,2022-1-31,11,light,41,RAS_colony6,RAS_tank1,RAS,1,858,0.116550117,0.001165501
2022-3-3,2022-1-31,12,light,42,RAS_colony6,RAS_tank1,RAS,2,858,0.233100233,0.002331002
