Gregorian_date,lunar_day,number_lunar_days,lunar_month,Gregorian_month,season,mean_daily_temp,system,tank_id,colony_id,RO_<5 included,RT_angle_ALL,RO,RT_remove_NA,RT_angle
2021-12-14,11,30,Nov_2021,Dec_2021,winter,27.08867,RAS,RAS_tank3,RAS_colony12,0,132,0,0,NA
2021-12-15,12,30,Nov_2021,Dec_2021,winter,27.0669,RAS,RAS_tank3,RAS_colony12,0,144,0,0,NA
2021-12-16,13,30,Nov_2021,Dec_2021,winter,27.02124,RAS,RAS_tank3,RAS_colony12,0,156,0,0,NA
2021-12-17,14,30,Nov_2021,Dec_2021,winter,27.07092,RAS,RAS_tank3,RAS_colony12,0,168,0,0,NA
2021-12-18,15,30,Nov_2021,Dec_2021,winter,27.10501,RAS,RAS_tank3,RAS_colony12,0,180,0,0,NA
2021-12-19,16,30,Nov_2021,Dec_2021,winter,27.12751,RAS,RAS_tank3,RAS_colony12,0,192,0,0,NA
2021-12-20,17,30,Nov_2021,Dec_2021,winter,27.08185,RAS,RAS_tank3,RAS_colony12,0,204,0,0,NA
2021-12-21,18,30,Nov_2021,Dec_2021,winter,27.07642,RAS,RAS_tank3,RAS_colony12,0,216,0,0,NA
2021-12-22,19,30,Nov_2021,Dec_2021,winter,27.09822,RAS,RAS_tank3,RAS_colony12,0,228,0,0,NA
2021-12-23,20,30,Nov_2021,Dec_2021,winter,27.0716,RAS,RAS_tank3,RAS_colony12,0,240,0,0,NA
2021-12-24,21,30,Nov_2021,Dec_2021,winter,27.05118,RAS,RAS_tank3,RAS_colony12,0,252,0,0,NA
2021-12-25,22,30,Nov_2021,Dec_2021,winter,27.05662,RAS,RAS_tank3,RAS_colony12,0,264,0,0,NA
2021-12-26,23,30,Nov_2021,Dec_2021,winter,27.05322,RAS,RAS_tank3,RAS_colony12,0,276,0,0,NA
2021-12-27,24,30,Nov_2021,Dec_2021,winter,27.05594,RAS,RAS_tank3,RAS_colony12,0,288,0,0,NA
2021-12-28,25,30,Nov_2021,Dec_2021,winter,27.06752,RAS,RAS_tank3,RAS_colony12,0,300,0,0,NA
2021-12-29,26,30,Nov_2021,Dec_2021,winter,26.98789,RAS,RAS_tank3,RAS_colony12,0,312,0,0,NA
2021-12-30,27,30,Nov_2021,Dec_2021,winter,26.92256,RAS,RAS_tank3,RAS_colony12,0,324,0,0,NA
2021-12-31,28,30,Nov_2021,Dec_2021,winter,26.89738,RAS,RAS_tank3,RAS_colony12,0,336,0,0,NA
2022-01-01,29,30,Nov_2021,Dec_2021,winter,26.88853,RAS,RAS_tank3,RAS_colony12,0,348,0,0,NA
2022-01-02,30,30,Nov_2021,Dec_2021,winter,26.89057,RAS,RAS_tank3,RAS_colony12,0,360,0,0,NA
2022-01-03,1,29,Dec_2021,Jan_2022,winter,26.95318056,RAS,RAS_tank3,RAS_colony12,0,12.4137931,0,0,NA
2022-01-04,2,29,Dec_2021,Jan_2022,winter,27.05866667,RAS,RAS_tank3,RAS_colony12,0,24.82758621,0,0,NA
2022-01-05,3,29,Dec_2021,Jan_2022,winter,27.04573611,RAS,RAS_tank3,RAS_colony12,0,37.24137931,0,0,NA
2022-01-06,4,29,Dec_2021,Jan_2022,winter,27.04097222,RAS,RAS_tank3,RAS_colony12,0,49.65517241,0,0,NA
2022-01-07,5,29,Dec_2021,Jan_2022,winter,27.05322222,RAS,RAS_tank3,RAS_colony12,0,62.06896552,0,0,NA
2022-01-08,6,29,Dec_2021,Jan_2022,winter,27.05186111,RAS,RAS_tank3,RAS_colony12,0,74.48275862,0,0,NA
2022-01-09,7,29,Dec_2021,Jan_2022,winter,27.05118056,RAS,RAS_tank3,RAS_colony12,0,86.89655172,0,0,NA
2022-01-10,8,29,Dec_2021,Jan_2022,winter,27.05866667,RAS,RAS_tank3,RAS_colony12,0,99.31034483,0,0,NA
2022-01-11,9,29,Dec_2021,Jan_2022,winter,27.08319444,RAS,RAS_tank3,RAS_colony12,1,111.7241379,0,0,NA
2022-01-12,10,29,Dec_2021,Jan_2022,winter,27.11529167,RAS,RAS_tank3,RAS_colony12,1,124.137931,0,0,NA
2022-01-13,11,29,Dec_2021,Jan_2022,winter,27.11257639,RAS,RAS_tank3,RAS_colony12,0,136.5517241,0,0,NA
2022-01-14,12,29,Dec_2021,Jan_2022,winter,27.12419444,RAS,RAS_tank3,RAS_colony12,0,148.9655172,0,0,NA
2022-01-15,13,29,Dec_2021,Jan_2022,winter,27.09408333,RAS,RAS_tank3,RAS_colony12,0,161.3793103,0,0,NA
2022-01-16,14,29,Dec_2021,Jan_2022,winter,27.08811972,RAS,RAS_tank3,RAS_colony12,0,173.7931034,0,0,NA
2022-01-17,15,29,Dec_2021,Jan_2022,winter,27.1153125,RAS,RAS_tank3,RAS_colony12,0,186.2068966,0,0,NA
2022-01-18,16,29,Dec_2021,Jan_2022,winter,27.12555556,RAS,RAS_tank3,RAS_colony12,0,198.6206897,0,0,NA
2022-01-19,17,29,Dec_2021,Jan_2022,winter,27.12284722,RAS,RAS_tank3,RAS_colony12,0,211.0344828,0,0,NA
2022-01-20,18,29,Dec_2021,Jan_2022,winter,27.12009028,RAS,RAS_tank3,RAS_colony12,0,223.4482759,0,0,NA
2022-01-21,19,29,Dec_2021,Jan_2022,winter,27.37846528,RAS,RAS_tank3,RAS_colony12,0,235.862069,0,0,NA
2022-01-22,20,29,Dec_2021,Jan_2022,winter,27.9905625,RAS,RAS_tank3,RAS_colony12,0,248.2758621,0,0,NA
2022-01-23,21,29,Dec_2021,Jan_2022,winter,27.97750694,RAS,RAS_tank3,RAS_colony12,0,260.6896552,0,0,NA
2022-01-24,22,29,Dec_2021,Jan_2022,winter,28.0215,RAS,RAS_tank3,RAS_colony12,0,273.1034483,0,0,NA
2022-01-25,23,29,Dec_2021,Jan_2022,winter,28.03044444,RAS,RAS_tank3,RAS_colony12,0,285.5172414,0,0,NA
2022-01-26,24,29,Dec_2021,Jan_2022,winter,28.0304375,RAS,RAS_tank3,RAS_colony12,0,297.9310345,0,0,NA
2022-01-27,25,29,Dec_2021,Jan_2022,winter,28.02906944,RAS,RAS_tank3,RAS_colony12,0,310.3448276,0,0,NA
2022-01-28,26,29,Dec_2021,Jan_2022,winter,28.01875,RAS,RAS_tank3,RAS_colony12,0,322.7586207,0,0,NA
2022-01-29,27,29,Dec_2021,Jan_2022,winter,28.0235625,RAS,RAS_tank3,RAS_colony12,0,335.1724138,0,0,NA
2022-01-30,28,29,Dec_2021,Jan_2022,winter,28.033875,RAS,RAS_tank3,RAS_colony12,0,347.5862069,0,0,NA
2022-01-31,29,29,Dec_2021,Jan_2022,winter,28.05023944,RAS,RAS_tank3,RAS_colony12,0,360,0,0,NA
2022-02-01,1,30,Jan_2022,Feb_2022,winter,28.047625,RAS,RAS_tank3,RAS_colony12,4,12,0,0,NA
2022-02-02,2,30,Jan_2022,Feb_2022,winter,28.0345625,RAS,RAS_tank3,RAS_colony12,4,24,0,0,NA
2022-02-03,3,30,Jan_2022,Feb_2022,winter,28.0263125,RAS,RAS_tank3,RAS_colony12,2,36,0,0,NA
2022-02-04,4,30,Jan_2022,Feb_2022,winter,28.0166875,RAS,RAS_tank3,RAS_colony12,0,48,0,0,NA
2022-02-05,5,30,Jan_2022,Feb_2022,winter,28.02425,RAS,RAS_tank3,RAS_colony12,3,60,0,0,NA
2022-02-06,6,30,Jan_2022,Feb_2022,winter,28.0194375,RAS,RAS_tank3,RAS_colony12,4,72,0,0,NA
2022-02-07,7,30,Jan_2022,Feb_2022,winter,28.0001875,RAS,RAS_tank3,RAS_colony12,0,84,0,0,NA
2022-02-08,8,30,Jan_2022,Feb_2022,winter,28.0153125,RAS,RAS_tank3,RAS_colony12,1,96,0,0,NA
2022-02-09,9,30,Jan_2022,Feb_2022,winter,27.99125,RAS,RAS_tank3,RAS_colony12,0,108,0,0,NA
2022-02-10,10,30,Jan_2022,Feb_2022,winter,28.0249375,RAS,RAS_tank3,RAS_colony12,0,120,0,0,NA
2022-02-11,11,30,Jan_2022,Feb_2022,winter,28.009125,RAS,RAS_tank3,RAS_colony12,0,132,0,0,NA
2022-02-12,12,30,Jan_2022,Feb_2022,winter,27.9988125,RAS,RAS_tank3,RAS_colony12,0,144,0,0,NA
2022-02-13,13,30,Jan_2022,Feb_2022,winter,27.994,RAS,RAS_tank3,RAS_colony12,0,156,0,0,NA
2022-02-14,14,30,Jan_2022,Feb_2022,winter,28.0180625,RAS,RAS_tank3,RAS_colony12,0,168,0,0,NA
2022-02-15,15,30,Jan_2022,Feb_2022,winter,27.98025,RAS,RAS_tank3,RAS_colony12,0,180,0,0,NA
2022-02-16,16,30,Jan_2022,Feb_2022,winter,27.95904861,RAS,RAS_tank3,RAS_colony12,0,192,0,0,NA
2022-02-17,17,30,Jan_2022,Feb_2022,winter,28.0304375,RAS,RAS_tank3,RAS_colony12,0,204,0,0,NA
2022-02-18,18,30,Jan_2022,Feb_2022,winter,28.0359375,RAS,RAS_tank3,RAS_colony12,0,216,0,0,NA
2022-02-19,19,30,Jan_2022,Feb_2022,winter,27.9995,RAS,RAS_tank3,RAS_colony12,NA,228,NA,0,NA
2022-02-20,20,30,Jan_2022,Feb_2022,winter,28.031125,RAS,RAS_tank3,RAS_colony12,NA,240,NA,0,NA
2022-02-21,21,30,Jan_2022,Feb_2022,winter,28.033875,RAS,RAS_tank3,RAS_colony12,NA,252,NA,0,NA
